Mailer,All Content Image URLs,Product Packet Image URLs,Final Changed Image URLs
PP1,"https://www.vahdam.co.uk/cdn/shop/files/3dc7e0e4-19df-493b-b458-101bebac3085_1.png?v=1778910761&width=800
https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/ad355fd3-bc40-4b60-9bf3-9172a2fa1429.png",https://www.vahdam.co.uk/cdn/shop/files/3dc7e0e4-19df-493b-b458-101bebac3085_1.png?v=1778910761&width=800,
PP2,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/9bd5c718-0d82-48d5-857d-340b160b899d.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/9bd5c718-0d82-48d5-857d-340b160b899d.png,
PP3,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/aedc8d64-6bb2-4ab8-a536-d7d31e285187.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/aedc8d64-6bb2-4ab8-a536-d7d31e285187.png  (LIKELY-verify),
PP4,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/896c84d5-7afe-4989-886a-c92ad1332f4b.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/896c84d5-7afe-4989-886a-c92ad1332f4b.png,
PP5,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/51d82ccc-f899-4c8f-9e8b-35a41f4b5afc.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/51d82ccc-f899-4c8f-9e8b-35a41f4b5afc.png,
PP6,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/7717e7ad-27f3-4a99-8b5f-3fe784aacb52.png,(none),
PP7,(none — logo only),(none),
PP8,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/c60e1366-c8fb-4df5-a28a-2241f0fefb35.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/c60e1366-c8fb-4df5-a28a-2241f0fefb35.png,
PP9,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/af3b5b28-5a9f-4176-a99f-e6cf64a85e2a.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/af3b5b28-5a9f-4176-a99f-e6cf64a85e2a.png  (LIKELY-verify),
PP10,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/97640c82-7716-4ad5-95cc-801ca0318ba4.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/97640c82-7716-4ad5-95cc-801ca0318ba4.png  (LIKELY-verify),
PP11,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f0ddf95b-f329-4e53-9da1-73d1c4abc737.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f0ddf95b-f329-4e53-9da1-73d1c4abc737.png  (LIKELY-verify),
PP12,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/e4c99b03-cf4e-464b-b1aa-8877e8050931.png,(none),
PP13,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/3887fae1-3e82-4494-87a6-875c8d35f934.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/3887fae1-3e82-4494-87a6-875c8d35f934.png  (LIKELY-verify),
PP14,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/bbf7bfd3-7cda-49b0-a3cc-ede705017416.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/bbf7bfd3-7cda-49b0-a3cc-ede705017416.png  (LIKELY-verify),
PP15,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/09ad5d23-0242-4c7f-af15-2e5ce9b490d2.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/09ad5d23-0242-4c7f-af15-2e5ce9b490d2.png  (LIKELY-verify),
PP16,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/e76fa83c-f4a1-49f0-85dc-d74245a94eaa.png,(none),
PP17,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/8e247868-45be-42b5-8e6c-6d3c3733a8af.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/8e247868-45be-42b5-8e6c-6d3c3733a8af.png  (LIKELY-verify),
PP18,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/030425c7-ebb2-4a89-9913-c0075eaca0af.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/030425c7-ebb2-4a89-9913-c0075eaca0af.png  (LIKELY-verify),
PP19,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/c60e1366-c8fb-4df5-a28a-2241f0fefb35.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/c60e1366-c8fb-4df5-a28a-2241f0fefb35.png,
PP20,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/33b3eafc-8460-448d-9433-ff732c5a36fa.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/33b3eafc-8460-448d-9433-ff732c5a36fa.png  (LIKELY-verify),
PP21,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/0231cbad-d1e1-4277-86a9-620a578cb4b7.png,(none),
PP22,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/414b03b7-ec24-4a7e-8c1d-77d3350c9dcc.png,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/414b03b7-ec24-4a7e-8c1d-77d3350c9dcc.png  (LIKELY-verify),
