Mailer,Image Role,Alt Text,Image URL,Contains Product Packet,Final Changed Image URL
PP1,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP1,Content image,Your VAHDAM Ashwagandha Coffee starter kit — on its way to begin the ritual,https://www.vahdam.co.uk/cdn/shop/files/3dc7e0e4-19df-493b-b458-101bebac3085_1.png?v=1778910761&width=800,Yes,
PP1,Content image,"The seven extras in your starter kit: Premium Electric Frother, Stainless Steel Straw, Wooden Scoop, Aroma Bean Pouch, Recipe Booklet, Plantable Paper, and 5 Tea Bags",https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/ad355fd3-bc40-4b60-9bf3-9172a2fa1429.png,"No (accessories: frother, straw, scoop, etc.)",
PP1,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP1,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP1,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP1,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP2,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP2,Content image,"Your first pack of VAHDAM Ashwagandha Coffee, ready for the first cup",https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/9bd5c718-0d82-48d5-857d-340b160b899d.png,Yes,
PP2,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP2,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP2,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP2,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP3,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP3,Content image,"The VAHDAM Ashwagandha Coffee morning ritual, six days in",https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/aedc8d64-6bb2-4ab8-a536-d7d31e285187.png,Likely,
PP3,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP3,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP3,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP3,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP4,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP4,Content image,"VAHDAM Ashwagandha Coffee, twelve days into the daily ritual — the first milestone",https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/896c84d5-7afe-4989-886a-c92ad1332f4b.png,Yes,
PP4,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP4,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP4,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP4,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP5,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP5,Content image,"Your VAHDAM Ashwagandha Coffee second pack, shipping into the Week 4 milestone",https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/51d82ccc-f899-4c8f-9e8b-35a41f4b5afc.png,Yes,
PP5,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP5,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP5,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP5,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
PP6,Logo,VAHDAM® UK Logo,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/f9aa61c1-c314-447c-a104-4740ce20d330.png,No,
PP6,Content image,VAHDAM Verve insulated bottle — your Month 2 gift,https://d3k81ch9hvuctc.cloudfront.net/company/UZL5NY/images/7717e7ad-27f3-4a99-8b5f-3fe784aacb52.png,No (gift: Verve bottle),
PP6,Social icon,Instagram,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/instagram_96.png,No,
PP6,Social icon,TikTok,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/tiktok_96.png,No,
PP6,Social icon,X,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/x_twitter_96.png,No,
PP6,Social icon,Facebook,https://d3k81ch9hvuctc.cloudfront.net/assets/email/buttons/subtleinverse/facebook_96.png,No,
